ContrastName	GenomeName
First10_vs_Second10.Kidney.Chicken	Chicken_UCSC.galGal6_ensv101
First10_vs_Second10.Liver.Chicken	Chicken_UCSC.galGal6_ensv101
First10_vs_Second10.Ovary.Chicken	Chicken_UCSC.galGal6_ensv101
First10_vs_Second10.Testis.Chicken	Chicken_UCSC.galGal6_ensv101
First10_vs_Second10.Brain.Human	Human_UCSC.hg38_GencodeComprehensive46
First10_vs_Second10.Cerebellum.Human	Human_UCSC.hg38_GencodeComprehensive46
First10_vs_Second10.Heart.Human	Human_UCSC.hg38_GencodeComprehensive46
First10_vs_Second10.Kidney.Human	Human_UCSC.hg38_GencodeComprehensive46
First10_vs_Second10.Liver.Human	Human_UCSC.hg38_GencodeComprehensive46
First10_vs_Second10.Ovary.Human	Human_UCSC.hg38_GencodeComprehensive46
First10_vs_Second10.Testis.Human	Human_UCSC.hg38_GencodeComprehensive46
First10_vs_Second10.Brain.Macaque	Macaque_UCSC.rheMac10_ensv101
First10_vs_Second10.Cerebellum.Macaque	Macaque_UCSC.rheMac10_ensv101
First10_vs_Second10.Heart.Macaque	Macaque_UCSC.rheMac10_ensv101
First10_vs_Second10.Kidney.Macaque	Macaque_UCSC.rheMac10_ensv101
First10_vs_Second10.Liver.Macaque	Macaque_UCSC.rheMac10_ensv101
First10_vs_Second10.Testis.Macaque	Macaque_UCSC.rheMac10_ensv101
First10_vs_Second10.Brain.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
First10_vs_Second10.Cerebellum.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
First10_vs_Second10.Heart.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
First10_vs_Second10.Kidney.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
First10_vs_Second10.Liver.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
First10_vs_Second10.Ovary.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
First10_vs_Second10.Testis.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
First10_vs_Second10.Brain.Opossum	Opossum_UCSC.monDom5_ensvUnknown
First10_vs_Second10.Cerebellum.Opossum	Opossum_UCSC.monDom5_ensvUnknown
First10_vs_Second10.Heart.Opossum	Opossum_UCSC.monDom5_ensvUnknown
First10_vs_Second10.Kidney.Opossum	Opossum_UCSC.monDom5_ensvUnknown
First10_vs_Second10.Liver.Opossum	Opossum_UCSC.monDom5_ensvUnknown
First10_vs_Second10.Ovary.Opossum	Opossum_UCSC.monDom5_ensvUnknown
First10_vs_Second10.Testis.Opossum	Opossum_UCSC.monDom5_ensvUnknown
First10_vs_Second10.Brain.Rabbit	Rabbit_UCSC.oryCun2_ensv101
First10_vs_Second10.Cerebellum.Rabbit	Rabbit_UCSC.oryCun2_ensv101
First10_vs_Second10.Heart.Rabbit	Rabbit_UCSC.oryCun2_ensv101
First10_vs_Second10.Kidney.Rabbit	Rabbit_UCSC.oryCun2_ensv101
First10_vs_Second10.Liver.Rabbit	Rabbit_UCSC.oryCun2_ensv101
First10_vs_Second10.Ovary.Rabbit	Rabbit_UCSC.oryCun2_ensv101
First10_vs_Second10.Testis.Rabbit	Rabbit_UCSC.oryCun2_ensv101
First10_vs_Second10.Brain.Rat	Rat_UCSC.rn7_RefSeqv108
First10_vs_Second10.Cerebellum.Rat	Rat_UCSC.rn7_RefSeqv108
First10_vs_Second10.Heart.Rat	Rat_UCSC.rn7_RefSeqv108
First10_vs_Second10.Kidney.Rat	Rat_UCSC.rn7_RefSeqv108
First10_vs_Second10.Liver.Rat	Rat_UCSC.rn7_RefSeqv108
First10_vs_Second10.Ovary.Rat	Rat_UCSC.rn7_RefSeqv108
First10_vs_Second10.Testis.Rat	Rat_UCSC.rn7_RefSeqv108
Neonate_vs_Adult.Brain.Chicken	Chicken_UCSC.galGal6_ensv101
Neonate_vs_Adult.Cerebellum.Chicken	Chicken_UCSC.galGal6_ensv101
Neonate_vs_Adult.Heart.Chicken	Chicken_UCSC.galGal6_ensv101
Neonate_vs_Adult.Kidney.Chicken	Chicken_UCSC.galGal6_ensv101
Neonate_vs_Adult.Liver.Chicken	Chicken_UCSC.galGal6_ensv101
Neonate_vs_Adult.Ovary.Chicken	Chicken_UCSC.galGal6_ensv101
Neonate_vs_Adult.Testis.Chicken	Chicken_UCSC.galGal6_ensv101
Neonate_vs_Adult.Brain.Human	Human_UCSC.hg38_GencodeComprehensive46
Neonate_vs_Adult.Cerebellum.Human	Human_UCSC.hg38_GencodeComprehensive46
Neonate_vs_Adult.Heart.Human	Human_UCSC.hg38_GencodeComprehensive46
Neonate_vs_Adult.Kidney.Human	Human_UCSC.hg38_GencodeComprehensive46
Neonate_vs_Adult.Liver.Human	Human_UCSC.hg38_GencodeComprehensive46
Neonate_vs_Adult.Testis.Human	Human_UCSC.hg38_GencodeComprehensive46
Neonate_vs_Adult.Brain.Macaque	Macaque_UCSC.rheMac10_ensv101
Neonate_vs_Adult.Cerebellum.Macaque	Macaque_UCSC.rheMac10_ensv101
Neonate_vs_Adult.Heart.Macaque	Macaque_UCSC.rheMac10_ensv101
Neonate_vs_Adult.Kidney.Macaque	Macaque_UCSC.rheMac10_ensv101
Neonate_vs_Adult.Liver.Macaque	Macaque_UCSC.rheMac10_ensv101
Neonate_vs_Adult.Testis.Macaque	Macaque_UCSC.rheMac10_ensv101
Neonate_vs_Adult.Brain.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
Neonate_vs_Adult.Cerebellum.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
Neonate_vs_Adult.Heart.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
Neonate_vs_Adult.Kidney.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
Neonate_vs_Adult.Liver.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
Neonate_vs_Adult.Ovary.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
Neonate_vs_Adult.Testis.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
Neonate_vs_Adult.Brain.Opossum	Opossum_UCSC.monDom5_ensvUnknown
Neonate_vs_Adult.Cerebellum.Opossum	Opossum_UCSC.monDom5_ensvUnknown
Neonate_vs_Adult.Heart.Opossum	Opossum_UCSC.monDom5_ensvUnknown
Neonate_vs_Adult.Kidney.Opossum	Opossum_UCSC.monDom5_ensvUnknown
Neonate_vs_Adult.Liver.Opossum	Opossum_UCSC.monDom5_ensvUnknown
Neonate_vs_Adult.Ovary.Opossum	Opossum_UCSC.monDom5_ensvUnknown
Neonate_vs_Adult.Testis.Opossum	Opossum_UCSC.monDom5_ensvUnknown
Neonate_vs_Adult.Brain.Rabbit	Rabbit_UCSC.oryCun2_ensv101
Neonate_vs_Adult.Cerebellum.Rabbit	Rabbit_UCSC.oryCun2_ensv101
Neonate_vs_Adult.Heart.Rabbit	Rabbit_UCSC.oryCun2_ensv101
Neonate_vs_Adult.Kidney.Rabbit	Rabbit_UCSC.oryCun2_ensv101
Neonate_vs_Adult.Liver.Rabbit	Rabbit_UCSC.oryCun2_ensv101
Neonate_vs_Adult.Ovary.Rabbit	Rabbit_UCSC.oryCun2_ensv101
Neonate_vs_Adult.Testis.Rabbit	Rabbit_UCSC.oryCun2_ensv101
Neonate_vs_Adult.Brain.Rat	Rat_UCSC.rn7_RefSeqv108
Neonate_vs_Adult.Cerebellum.Rat	Rat_UCSC.rn7_RefSeqv108
Neonate_vs_Adult.Heart.Rat	Rat_UCSC.rn7_RefSeqv108
Neonate_vs_Adult.Kidney.Rat	Rat_UCSC.rn7_RefSeqv108
Neonate_vs_Adult.Liver.Rat	Rat_UCSC.rn7_RefSeqv108
Neonate_vs_Adult.Ovary.Rat	Rat_UCSC.rn7_RefSeqv108
Neonate_vs_Adult.Testis.Rat	Rat_UCSC.rn7_RefSeqv108
